Entity_1,Entity_2,Connection_No/ASL type,ASC/Seq
0_0,9_0,x,ASC
107_0,9_0,dt,ASC
113_0,0_0,2,ASC
117_0,9_0,t1,ASC
128_0,2165_0,0,ASC
143_0,46_0,x,ASC
143_0,55_0,x,ASC
14_0,6_0,0,ASC
2135_0,128_0,bitposition,ASC
2146_0,128_0,bitleiste,ASC
2150_0,2154_0,0,Seq_1
2165_0,2150_0,0,ASC
21_0,0_0,1,ASC
25_0,14_0,2,ASC
29_0,36_0,0,ASC
33_0,36_0,1,ASC
36_0,14_0,0,ASC
41_0,14_0,1,ASC
46_0,63_0,0,ASC
55_0,67_0,0,ASC
6_0,0_0,0,ASC
9_0,143_0,0,ASC
